metro,price,rooms,floor,floors,square,turned
1,8700162,1,1,14,32.31,0
0,5687536,1,1,4,37.8,1
1,13150438,2,1,17,52.48,0
0,10850062,1,12,12,40.02,0
0,16580000,2,9,25,87.3,1
0,8900365,2,1,4,49.95,0
0,5594604,2,3,13,31.09,0
0,3967500,1,2,5,35.75,0
0,9650178,2,1,8,56.43,0
0,4754000,2,2,5,42.9,0
1,21537524,2,5,6,70.8,0
0,8431500,2,13,17,52.5,1
0,13962700,2,1,5,96.9,1
0,11618300,2,2,12,52.1,0
0,4750548,1,2,10,34.8,0
1,10197980,2,4,29,53.8,1
0,9450196,2,1,4,54.99,0
0,6050251,1,1,4,31.48,0
0,5597886,1,5,13,31.84,0
1,23427000,2,2,10,61.65,0
1,31952656,2,6,9,88.2,1
0,9900297,2,1,4,50.78,0
0,6347729,2,9,16,34.4,1
0,9150180,2,1,5,52.99,0
0,5700244,1,1,8,33.24,0
0,5450246,1,2,4,29.55,0
0,12623000,2,8,20,56.43,0
0,12554900,1,1,6,44.6,0
1,13097370,2,15,25,55.86,1
1,13050180,1,1,9,39.0,1
1,13681872,1,10,10,36.8,1
0,14402100,2,5,25,78.0,1
0,15237677,2,3,23,64.18,0
1,15500000,2,6,12,40.05,0
1,17195000,2,7,12,58.01,1
1,17400154,2,2,12,68.71,0
0,20750230,2,10,10,75.4,1
1,22275000,2,2,12,89.1,0
0,23671872,2,3,12,86.52,1
1,25391082,2,3,8,62.34,0
1,11431000,1,1,8,49.7,1
1,15101163,2,3,9,53.9,0
1,10913085,2,13,15,43.1,0
0,10360053,2,2,14,46.1,0
0,13046630,2,2,12,57.6,0
0,8576700,1,1,12,33.9,0
1,16313200,2,1,13,68.0,1
1,11712838,1,12,15,46.3,0
1,11608500,1,1,13,35.5,1
0,13612860,2,1,6,56.02,0
1,16632972,1,2,11,40.4,0
1,17120044,1,1,18,58.4,1
1,22059000,2,2,11,53.7,0
1,27905500,2,7,8,113.9,1
1,40000000,2,6,9,78.4,1
1,17993150,2,2,11,70.7,0
0,5786800,1,6,12,34.04,0
0,5855238,1,1,4,40.8,1
1,36544200,2,9,20,124.3,1
0,15150000,1,5,10,44.8,0
1,18730895,1,1,8,132.76,1
0,5587726,1,15,24,36.18,0
0,13612860,2,1,6,56.02,0
1,29700000,2,7,7,68.6,1
1,17263296,2,10,10,49.2,1
0,5609458,1,1,16,36.6,1
0,13148100,1,4,5,41.74,0
0,5687536,1,1,4,37.8,1
1,13808000,2,6,6,58.0,1
0,8786891,1,2,23,32.98,0
1,19456500,1,5,9,45.78,0
1,14568487,2,2,18,63.8,1
1,14568487,2,2,18,63.8,1
0,7816200,2,3,12,55.83,0
0,7816200,2,3,12,55.83,0
1,34487100,2,3,6,72.3,1
0,5400000,1,1,6,37.5,0
1,8126335,1,5,7,29.39,0
1,12379250,2,7,7,42.25,0
0,10340000,1,2,4,47.22,0
0,15700000,2,4,4,98.68,0
1,20414949,2,2,7,65.36,0
0,5771000,1,14,26,32.88,0
0,8402240,2,1,5,51.55,0
1,34487100,2,3,6,72.3,1
0,4336400,1,2,22,29.3,0
0,5791260,2,1,22,36.7,1
0,7956680,2,2,10,37.64,0
0,8062452,2,1,3,43.3,1
0,10465560,1,1,6,41.53,0
1,17228615,1,3,9,44.94,0
1,17723459,2,3,9,43.31,0
0,2944500,1,2,12,19.63,0
0,4102650,1,3,12,30.39,0
0,4479189,1,1,4,25.61,0
0,5072600,2,2,12,39.02,0
